Features,coefficients,Target
Crack,0.944699,Ecstasy
Age_35 - 44,0.958805,Ecstasy
Mushrooms,0.975729,Ecstasy
Gender_Female,0.984722,Ecstasy
Country_USA,1.010192,Ecstasy
Gender_Male,1.015515,Ecstasy
Country_Canada,1.032156,Ecstasy
Benzos,1.043917,Ecstasy
Heroin,1.053655,Ecstasy
SS,1.064315,Ecstasy
Education_Left School at 18 years,1.068137,Ecstasy
Education_Masters Degree,1.083811,Ecstasy
Country_Republic of Ireland,1.090457,Ecstasy
Education_University Degree,1.105365,Ecstasy
Education_Doctorate Degree,1.116743,Ecstasy
Age_25 - 34,1.175626,Ecstasy
Amyl,1.181657,Ecstasy
Oscore,1.192416,Ecstasy
Escore,1.208421,Ecstasy
Amphet,1.223026,Ecstasy
Country_Australia,1.228443,Ecstasy
Semer,1.247932,Ecstasy
Alcohol,1.270906,Ecstasy
Legalh,1.299004,Ecstasy
"Education_Some College,No Certificate Or Degree",1.29992,Ecstasy
Nicotine,1.355451,Ecstasy
LSD,1.509545,Ecstasy
Ketamine,1.521351,Ecstasy
Choc,1.571028,Ecstasy
Age_18 - 24,1.644093,Ecstasy
Cannabis,1.805223,Ecstasy
Coke,2.093225,Ecstasy
Ecstasy,0,Ecstasy
Education_Doctorate Degree,0.197154,Amyl
LSD,0.228007,Amyl
Age_55 - 64,0.249041,Amyl
Nscore,0.361146,Amyl
Education_Left School Before 16 years,0.405274,Amyl
Country_Canada,0.445247,Amyl
Heroin,0.477817,Amyl
Age_45 - 54,0.510336,Amyl
Cscore,0.580844,Amyl
Age_65+,0.60646,Amyl
Education_Left School at 17 years,0.654997,Amyl
Country_USA,0.714353,Amyl
Country_New Zealand,0.724781,Amyl
Semer,0.757997,Amyl
SS,0.816438,Amyl
Country_Other,0.81833,Amyl
Cannabis,0.839536,Amyl
Education_Masters Degree,0.853666,Amyl
Gender_Female,0.863282,Amyl
Escore,0.871372,Amyl
Choc,0.893028,Amyl
Ascore,0.907067,Amyl
Country_Republic of Ireland,0.908047,Amyl
Crack,1.057348,Amyl
Oscore,1.10054,Amyl
VSA,1.114231,Amyl
"Education_Some College,No Certificate Or Degree",1.125572,Amyl
Amphet,1.137822,Amyl
Impulsive,1.141547,Amyl
Gender_Male,1.15837,Amyl
Ecstasy,1.176629,Amyl
Education_Left School at 18 years,1.280021,Amyl
Meth,1.297597,Amyl
Ketamine,1.306287,Amyl
Age_35 - 44,1.35187,Amyl
Age_18 - 24,1.424696,Amyl
Education_University Degree,1.506937,Amyl
Education_Professional Certificate/ Diploma,1.605454,Amyl
Country_Australia,1.671878,Amyl
Mushrooms,1.767322,Amyl
Education_Left School at 16 years,1.773839,Amyl
Country_UK,1.829877,Amyl
Legalh,1.940871,Amyl
Age_25 - 34,2.080258,Amyl
Nicotine,2.121719,Amyl
Coke,2.195773,Amyl
Alcohol,2.26823,Amyl
Benzos,2.626803,Amyl
Caff,5.300137,Amyl
Amyl,0,Amyl
Crack,0.714151,Legalh
Cscore,0.746494,Legalh
Age_65+,0.762587,Legalh
Education_Left School at 16 years,0.790378,Legalh
Country_UK,0.793917,Legalh
Age_45 - 54,0.80538,Legalh
Alcohol,0.834304,Legalh
Coke,0.860956,Legalh
Gender_Female,0.869546,Legalh
Heroin,0.872764,Legalh
Education_Doctorate Degree,0.886011,Legalh
Semer,0.886949,Legalh
Education_Professional Certificate/ Diploma,0.902277,Legalh
Ascore,0.919749,Legalh
Age_25 - 34,0.923937,Legalh
Meth,0.939179,Legalh
Escore,0.939355,Legalh
SS,0.939901,Legalh
LSD,0.941504,Legalh
Impulsive,0.966773,Legalh
Country_Australia,0.966982,Legalh
Age_55 - 64,0.993778,Legalh
Country_Republic of Ireland,0.994847,Legalh
Mushrooms,1.004579,Legalh
VSA,1.006746,Legalh
Education_University Degree,1.011813,Legalh
Education_Left School Before 16 years,1.01426,Legalh
Age_35 - 44,1.047318,Legalh
Education_Masters Degree,1.05634,Legalh
Benzos,1.074235,Legalh
Country_USA,1.077486,Legalh
"Education_Some College,No Certificate Or Degree",1.079142,Legalh
Nscore,1.09224,Legalh
Country_Other,1.101469,Legalh
Nicotine,1.110072,Legalh
Education_Left School at 17 years,1.120695,Legalh
Gender_Male,1.150026,Legalh
Ecstasy,1.179791,Legalh
Education_Left School at 18 years,1.194402,Legalh
Amyl,1.202466,Legalh
Oscore,1.22242,Legalh
Caff,1.232952,Legalh
Ketamine,1.259762,Legalh
Country_New Zealand,1.268972,Legalh
Age_18 - 24,1.304042,Legalh
Country_Canada,1.309208,Legalh
Choc,1.416611,Legalh
Amphet,1.556762,Legalh
Cannabis,1.841003,Legalh
Legalh,0,Legalh
Age_45 - 54,0.129914,VSA
Education_Left School at 17 years,0.32615,VSA
Country_Canada,0.331739,VSA
Education_Left School Before 16 years,0.334527,VSA
Education_Professional Certificate/ Diploma,0.395396,VSA
Crack,0.412758,VSA
Education_Doctorate Degree,0.426553,VSA
Age_55 - 64,0.534421,VSA
Country_Other,0.545553,VSA
Cscore,0.559247,VSA
Ecstasy,0.578451,VSA
Age_35 - 44,0.679059,VSA
Nscore,0.695687,VSA
Impulsive,0.699866,VSA
Ketamine,0.754819,VSA
Age_65+,0.778283,VSA
Ascore,0.787998,VSA
Amphet,0.798617,VSA
Alcohol,0.810812,VSA
Mushrooms,0.873905,VSA
Nicotine,0.878294,VSA
Semer,0.919326,VSA
Gender_Male,0.983665,VSA
Heroin,1.016573,VSA
Gender_Female,1.016606,VSA
Country_New Zealand,1.044233,VSA
Choc,1.071676,VSA
Oscore,1.07355,VSA
Country_Australia,1.120699,VSA
Education_Masters Degree,1.158539,VSA
Country_USA,1.181359,VSA
Escore,1.24293,VSA
Coke,1.354177,VSA
Cannabis,1.376291,VSA
"Education_Some College,No Certificate Or Degree",1.443141,VSA
Country_UK,1.545051,VSA
Amyl,1.594751,VSA
SS,1.665342,VSA
Education_Left School at 16 years,1.768293,VSA
Country_Republic of Ireland,1.768325,VSA
Meth,1.839193,VSA
Education_Left School at 18 years,1.94124,VSA
Legalh,2.003462,VSA
Education_University Degree,2.053674,VSA
Age_25 - 34,2.319959,VSA
LSD,2.44141,VSA
Benzos,2.690264,VSA
Caff,3.947749,VSA
Age_18 - 24,4.3828,VSA
VSA,0,VSA
Country_UK,0.527106,Mushrooms
Age_65+,0.573436,Mushrooms
Education_Doctorate Degree,0.603359,Mushrooms
